@j_mills116	From: @jmills116 Time: Sun, 19 May 2013 05:20, Score: 0.0 - @MaturePrince salute!!!
@jim_utter	From: @jimutter Time: Sun, 19 May 2013 05:01, Score: 3.0 - RT @NASCARStats: LOOP DATA ALLSTAR RECORD: 24 green flag passes for the lead. Old best was 20 in 2009. NASCAR
@jeff_gluck	From: @jeffgluck Time: Sun, 19 May 2013 05:01, Score: 0.0 - Quiet Track, AllStar Race. http://t.co/5eWcdh0Mkp
@missjfish	From: @missjfish Time: Sun, 19 May 2013 04:50, Score: 3.0 - @MonicaPalumbo hahahaha! I was expecting to see a baby pic or something. Lol nice caption
@bradmcminn	From: @bradmcminn Time: Sun, 19 May 2013 04:48, Score: 0.0 - hoppyum ipa is delicious
@copacavanna	From: @copacavanna Time: Sun, 19 May 2013 04:31, Score: 0.0 - Victory Vine for @jimmiejohnson nascar https://t.co/o0rxmqoT44
@lifeofaprincess	From: @lifeofaprincess Time: Sun, 19 May 2013 03:15, Score: 0.0 - sparks. coldplay.
@pdshead	From: @pdshead Time: Sun, 19 May 2013 00:40, Score: 0.0 - State Champs tribute to Bolt! http://t.co/0EPcazd9FT
@drweidner	From: @drweidner Time: Sun, 19 May 2013 03:10, Score: -1.0 - The future of healthcare: when mobile disappears http://t.co/gFuEmPkfFj mhealth digitalhealth
@bigfleet	From: @bigfleet Time: Sun, 19 May 2013 01:35, Score: 0.0 - @holman you could almost buy @github
@ab_hi_	From: @abhi Time: Sat, 18 May 2013 20:55, Score: 0.0 - hackathonclt ends with a bang tomorrow...hacks  data x food  geekheaven in charlotte
@hollyfurtick	From: @hollyfurtick Time: Sun, 19 May 2013 02:53, Score: 4.0 - So proud of @vitorbelfort. So relieved for @Joanapradob. Love you guys!!
@mikepersinger	From: @mikepersinger Time: Sun, 19 May 2013 03:29, Score: 3.0 - bringbackthemelon RT @rickbonnell: I said if Charlotte NBA team was called Cantaloupes, won 50 games, theyd be loved. No one disagreed.
@schoon	From: @schoon Time: Sat, 18 May 2013 21:46, Score: 4.0 - @bradmcminn, i love big data too!
